#Query ID,#Subject,#Subject accession,#Subject Taxonomy ID,#Identity percentage,#Coverage,#evalue,#bitscore,#Source,#Taxonomy
ESV_1,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,N/A,99620,100,1.7E-134,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_12,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp,N/A,93870,99,2.28E-108,394,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_13,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,99620,100,1.7E-134,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_14,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_15,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp,N/A,94253,99,4.91E-110,399,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_16,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_17,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,94697,100,8.16E-113,409,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_18,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Bacillaria_paxillifer,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Bacillaria/Bacillaria_paxillifer,N/A,92720,99,2.3E-103,377,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_19,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_20,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_aurariae,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_aurariae,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_21,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,97328,99,6.22E-124,446,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_22,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,N/A,85950,92,8.69E-68,259,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_23,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Bellerocheaceae/Bellerochea/Bellerochea_malleus,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Bellerocheaceae/Bellerochea/Bellerochea_malleus,N/A,94656,99,2.93E-112,407,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_24,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,94677,99,2.93E-112,407,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_25,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Plagiogrammaceae/Talaroneis/Talaroneis_posidoniae,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Plagiogrammaceae/Talaroneis/Talaroneis_posidoniae,N/A,93916,100,1.77E-109,398,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_26,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,95420,99,1.36E-115,418,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_27,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Plagiogrammaceae/Talaroneis/Talaroneis_posidoniae,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Plagiogrammaceae/Talaroneis/Talaroneis_posidoniae,N/A,93536,100,8.21E-108,392,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_28,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp,N/A,94253,99,4.91E-110,399,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_29,Eukaryota/Rhodophyta/Bangiophyceae/Bangiales/Bangiaceae/Bangia/Bangia_atropurpurea,Eukaryota/Rhodophyta/Bangiophyceae/Bangiales/Bangiaceae/Bangia/Bangia_atropurpurea,N/A,87500,97,2.38E-78,294,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_30,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,N/A,93822,98,2.95E-107,390,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_31,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,96958,100,8.04E-123,442,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_32,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Bellerocheaceae/Bellerochea/Bellerochea_malleus,Eukaryota/Bacillariophyta/Mediophyceae/Hemiaulales/Bellerocheaceae/Bellerochea/Bellerochea_malleus,N/A,94656,99,2.93E-112,407,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_33,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,98859,100,3.69E-131,470,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_34,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,N/A,94208,98,6.35E-109,396,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_35,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_reskoi,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_reskoi,N/A,95402,99,4.87E-115,416,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_36,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Plagiogrammopsis/Plagiogrammopsis_vanheurckii,Eukaryota/Bacillariophyta/Mediophyceae/Cymatosirales/Cymatosiraceae/Plagiogrammopsis/Plagiogrammopsis_vanheurckii,N/A,93536,100,8.21E-108,392,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_37,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_38,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_39,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_40,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,N/A,99240,100,7.93E-133,475,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_41,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,96947,99,2.89E-122,440,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_42,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_43,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Staurosira/Pseudostaurosira_brevistriata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Staurosira/Pseudostaurosira_brevistriata,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_44,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp,N/A,84030,100,4.04E-66,254,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_45,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_adhaerens,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_adhaerens,N/A,94677,100,8.16E-113,409,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_46,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_47,Eukaryota/Bacillariophyta/Fragilariophyceae/Rhaphoneidales/Rhaphoneidaceae/Neodelphineis/Neodelphineis_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Rhaphoneidales/Rhaphoneidaceae/Neodelphineis/Neodelphineis_sp,N/A,85496,99,3.1E-72,274,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_48,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_sp,N/A,100000,100,3.66E-136,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_49,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_50,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,98479,100,1.72E-129,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_51,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_52,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_53,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Rhizosoleniales/Rhizosoleniaceae/Rhizosolenia/Rhizosolenia_imbricata,N/A,100000,100,3.66E-136,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_54,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,100000,100,3.66E-136,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_55,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_varelae,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_varelae,N/A,86056,95,4.02E-71,270,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_56,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_57,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_lanceolata,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_lanceolata,N/A,100000,100,3.66E-136,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_58,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_59,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_lativentralis,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_lativentralis,N/A,93870,99,2.28E-108,394,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_60,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_gessneri,N/A,88213,100,1.83E-84,315,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_61,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_borealis,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_borealis,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_62,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,96947,99,2.89E-122,440,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_63,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_paludosa,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_paludosa,N/A,93916,100,1.77E-109,398,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_64,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_constrictum,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Psammodictyon/Psammodictyon_constrictum,N/A,100000,100,3.66E-136,486,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_65,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_sp,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_66,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,96958,100,8.04E-123,442,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_67,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_ehrenbergii,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_ehrenbergii,N/A,92366,99,2.97E-102,374,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_68,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Opephora/Serratifera_sp,N/A,97328,99,6.22E-124,446,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_69,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Serratifera/Serratifera_corallina,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_70,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_vacillans,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_71,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Caloneis/Caloneis_sp,N/A,89015,100,8.45E-88,326,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
