"category","taxon","island","sample_code","water_depth._m","dist_coast_km","long","lat","substrate_type","sequencin_run","ESVs","Kindgom","Phylum","Class","Order","Family","Genus","Species","X.Subject.accession","X.Identity.percentage","reads","pa","N","site_code"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_146","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIa","marine metagenome             ","OCVS01000055",100,3486,1,9.6031653160928,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_147","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","metagenome              ","OZSS01072547",100,4321,1,11.9034071517031,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1470","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9marinegroup","unknowngenus","uncultured Flavobacteriales bacterium            ","KF786800",100,525,1,1.44625983676096,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1476","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","ProchlorococcusMIT9313","Prochlorococcus sp. AG-347-I23            ","QCBR01000006",100,599,1,1.65011360422822,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1485","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","unidentified marine bacterioplankton            ","KC003207",100,451,1,1.2424060692937,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_159","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","marine metagenome             ","AACY024102398",100,7161,1,19.7269841734195,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_161","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","CandidatusActinomarina","marine metagenome             ","OCLV01002098",100,6091,1,16.7793688870686,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_173","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","ProchlorococcusMIT9313","marine sediment metagenome            ","UOTB01001567",100,5204,1,14.335878458103,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1756","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","marine metagenome             ","AACY020129489",100,337,1,0.928361076168466,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_185","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeII","unknowngenus","marine metagenome             ","AACY023551535",100,3893,1,10.7243610371627,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_191","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","marine metagenome             ","CEVH01069997",100,3226,1,8.88692234931594,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_1985","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9marinegroup","unknowngenus","uncultured Flavobacteriales bacterium            ","AB294998",100,377,1,1.03855230182644,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_2042","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","marine metagenome             ","CEOJ01000957",100,336,1,0.925606295527016,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_208","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","marine metagenome             ","AACY024107018",100,3964,1,10.9199504627056,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_209","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","marine metagenome             ","AACY021294420",100,2067,1,5.69413158587602,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_210","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","unidentified marine bacterioplankton            ","KC000452",100,3759,1,10.3552204312085,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_219","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","Pelagibacteraceae bacterium AG-430-F16            ","QCOG01000002",100,3775,1,10.3992969214717,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_22","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","SynechococcusCC9902","marine metagenome             ","OCOZ01007429",100,58068,1,159.964602287687,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_225","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5marinegroup","uncultured bacterium             ","GQ413186",100,3047,1,8.39381661449648,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_232","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas meridiana             ","FSQY01000001",100,1646,1,4.5343689358258,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_244","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","marine metagenome             ","AACY020259224",100,2815,1,7.75470750568021,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_258","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita","marine metagenome             ","AACY020295008",100,1956,1,5.38835093467513,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_286","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","uncultured bacterium             ","EU805070",100,2411,1,6.64177612653463,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_29","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIa","metagenome              ","UEXN01011482",100,31294,1,86.2081053935192,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_304","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","Rhodobacteraceae bacterium REDSEA-S29_B10            ","LUQB01000275",100,2492,1,6.86491335849204,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_308","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169marinegroup","unknowngenus","marine metagenome             ","CEQT01001744",100,2642,1,7.27813045470946,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_333","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)clade","uncultured marine bacterium            ","KU937449",100,1079,1,2.97240831212396,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_3338","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","marine metagenome             ","OCPG01003323",99.189,318,1,0.876020243980926,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_342","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2bmarinegroup","marine metagenome             ","AACY022124953",100,2718,1,7.48749378345961,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_366","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","uncultured","unknowngenus","unidentified marine bacterioplankton            ","KC003147",100,1411,1,3.88699548508518,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_372","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIa","marine sediment metagenome            ","UOTH01000097",100,1875,1,5.16521370271773,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_39","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas sp. I10            ","QJJN01000018",100,4664,1,12.8482969117203,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_393","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19marinesedimentgroup","marine metagenome             ","CENJ01027480",100,1933,1,5.32499097992179,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_403","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","OCS116clade","unknowngenus","marine metagenome             ","CEPK01003206",100,1700,1,4.68312709046407,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_409","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4marinegroup","unknownfamily","unknowngenus","marine metagenome             ","CESD01005976",100,771,1,2.12393587455753,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_41","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","marine sediment metagenome            ","PPCM01002869",100,8169,1,22.5038030600006,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_410","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","uncultured bacterium             ","JQ611216",100,958,1,2.63907985450858,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_418","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116clade","unknowngenus","marine metagenome             ","AACY023959354",100,1678,1,4.62252191635218,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_422","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","unknowngenus","unidentified marine bacterioplankton            ","KC001584",100,1305,1,3.59498873709154,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_423","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeII","unknowngenus","Pelagibacteraceae bacterium AG-345-F21            ","QCAW01000020",100,2026,1,5.58118557957659,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_432","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","S25-593","unknowngenus","uncultured bacterium             ","EU804733",100,1547,1,4.2616456523223,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_441","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)clade","unidentified marine bacterioplankton            ","KC000821",100,1465,1,4.03575363972345,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_447","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","Pelagibacteraceae bacterium AG-426-M19            ","QCNW01000007",100,1814,1,4.99717208358931,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_453","Bacteria","Proteobacteria","Gammaproteobacteria","OM182clade","unknownfamily","unknowngenus","uncultured bacterium             ","JQ731891",100,1055,1,2.90629357672917,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_456","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Marinoscillum","unidentified marine bacterioplankton            ","KC003375",100,1956,1,5.38835093467513,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_459","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7marinegroup","unknowngenus","marine metagenome             ","CENQ01009761",100,1126,1,3.10188300227208,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_482","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)clade","marine metagenome             ","AACY022351645",100,1091,1,3.00546567982135,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_483","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","SynechococcusCC9902","Synechococcus sp. RS9916            ","AAUA01000004",100,1055,1,2.90629357672917,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_484","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5marinegroup","marine metagenome             ","CEUT01057922",100,1383,1,3.80986162712459,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_497","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169marinegroup","unknowngenus","marine metagenome             ","MPLT02080336",100,1097,1,3.02199436367005,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_50","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeII","unknowngenus","metagenome              ","UEXN01038198",100,15242,1,41.9883665369726,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_515","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","unknowngenus","marine metagenome             ","CEPT01019904",100,427,1,1.17629133389892,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_519","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2bmarinegroup","unidentified marine bacterioplankton            ","KC003122",100,1576,1,4.34153429092434,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_52","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIa","marine sediment metagenome            ","UOSV01000990",100,14058,1,38.7267062574964,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_538","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeII","unknowngenus","marine metagenome             ","AACY021709961",100,1192,1,3.28369852460775,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_584","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","marine metagenome             ","AACY023892297",100,1368,1,3.76853991750285,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_587","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","marine metagenome             ","AACY020474453",100,1204,1,3.31675589230514,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_591","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeIV","unknowngenus","Rhodobacteraceae bacterium REDSEA-S29_B10            ","LUQB01000022",100,1225,1,3.37460628577558,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_609","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116clade","unknowngenus","uncultured bacterium             ","LC193046",100,1081,1,2.97791787340686,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_622","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996marinegroup","marine metagenome             ","CEOV01033947",100,1123,1,3.09361866034774,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_625","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeII","unknowngenus","marine metagenome             ","AACY023498806",100,1101,1,3.03301348623585,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_63","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","CandidatusActinomarina","marine metagenome             ","CEPB01016920",100,11571,1,31.8755668022116,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_630","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2bmarinegroup","marine metagenome             ","AACY023885496",100,1608,1,4.42968727145072,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_634","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","Prochlorococcus sp. scB245a_518D8            ","JFNB01000271",100,1654,1,4.5564071809574,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_635","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","Pelagibacteraceae bacterium GOM-A5            ","LHCB01000053",100,896,1,2.46828345473871,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_646","Bacteria","Marinimicrobia(SAR406clade)","unknownclass","unknownorder","unknownfamily","unknowngenus","metagenome              ","FUFK010189061",100,1012,1,2.78783800914685,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_65","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","ProchlorococcusMIT9313","Prochlorococcus sp. REDSEA-S22_B1            ","LUPT01000015",100,15632,1,43.0627309871379,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_70","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","CandidatusActinomarina","marine metagenome             ","CEUR01027716",100,11797,1,32.4981472271792,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_71","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIa","marine metagenome             ","OCOU01000518",100,10747,1,29.6056275536573,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_721","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","marine metagenome             ","CEOC01000361",100,1684,1,4.63905060020088,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_73","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","Rhodobacteraceae bacterium REDSEA-S11_B6            ","LUQA01000159",100,12483,1,34.3879267472135,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_730","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","marine metagenome             ","AACY023417031",100,1514,1,4.17073789115447,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_75","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","marine metagenome             ","CEPT01145025",100,1468,1,4.0440179816478,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_763","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4marinegroup","uncultured Bacteroidetes bacterium            ","DQ656214",100,831,1,2.2892227130445,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_777","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116clade","unknowngenus","marine metagenome             ","AACY022845511",100,667,1,1.83743868784679,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_780","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7marinegroup","unknowngenus","metagenome              ","FUFK010200940",100,536,1,1.47656242381691,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_791","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11clade","CladeI","CladeIb","Pelagibacteraceae bacterium AG-365-D07            ","QCGH01000001",100,1018,1,2.80436669299554,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_795","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86clade","unknownfamily","unknowngenus","marine metagenome             ","AACY023012789",100,1188,1,3.27267940204195,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_81","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","CyanobiumPCC-6307","Synechococcus sp. AG-420-M02            ","QCMM01000022",100,3090,1,8.51227218207881,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_821","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5marinegroup","Bacteroidetes bacterium SCGC AAA795-G10           ","QFDA01000001",100,1066,1,2.93659616378512,"Badi_1"
